"Code de la circonscription AFE";"Libellé la circonscription AFE";"Code de la circonscription consulaire";"Libellé de la circonscription consulaire";"Nom de l'élu";"Prénom de l'élu";"Code sexe";"Date de naissance";"Lieu de naissance";"Code de la catégorie socio-professionnelle";"Libellé de la catégorie socio-professionnelle";"Date de début du mandat";"Libellé de la fonction";"Date de début de la fonction"
3;"Amérique latine et Caraïbes";302;"Bolivie";"MANÇO-QUIROGA";"Maurice";"M";1964-09-05;"BELGIQUE";31;"Profession libérale";2021-05-31;"Président du conseil consulaire";2021-06-10
3;"Amérique latine et Caraïbes";303;"Brésil - 1re circonscription ( avec Suriname )";"CAVIGNAC";"Julie";"F";1965-01-22;"Bordeaux";34;"Professeur, profession scientifique";2021-05-31;"Président du conseil consulaire";2021-12-07
3;"Amérique latine et Caraïbes";303;"Brésil - 1re circonscription ( avec Suriname )";"DELUCHEY";"Jean-François";"M";1972-03-10;"Chartres";34;"Professeur, profession scientifique";2021-05-31;;
3;"Amérique latine et Caraïbes";303;"Brésil - 1re circonscription ( avec Suriname )";"NOËL-BOUTON";"Xavier";"M";1947-11-04;"Neuilly-Sur-Seine";75;"Ancienne profession intermédiaire";2021-05-31;;
3;"Amérique latine et Caraïbes";304;"Brésil - 2e circonscription";"GODEFROY";"Marie";"F";1952-01-19;"SÉNÉGAL";77;"Ancien employé";2021-05-31;;
3;"Amérique latine et Caraïbes";304;"Brésil - 2e circonscription";"MATENCIO";"Tulio";"M";1962-11-03;"La Tronche";34;"Professeur, profession scientifique";2021-05-31;;
3;"Amérique latine et Caraïbes";304;"Brésil - 2e circonscription";"MONTINARD";"Mélanie";"F";1981-08-14;"Blois";31;"Profession libérale";2021-05-31;"Président du conseil consulaire";2021-06-28
3;"Amérique latine et Caraïbes";305;"Brésil - 3e circonscription";"DUPONT";"Bertrand";"M";1970-09-28;"Rennes";31;"Profession libérale";2021-05-31;;
3;"Amérique latine et Caraïbes";305;"Brésil - 3e circonscription";"FERRAZ MARTINS";"Ana Fabia";"F";1969-12-02;"BRÉSIL";31;"Profession libérale";2021-05-31;"Président du conseil consulaire";2023-04-04
3;"Amérique latine et Caraïbes";305;"Brésil - 3e circonscription";"LAPLACE";"Frédéric";"M";1969-05-18;"Tarbes";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
3;"Amérique latine et Caraïbes";306;"Chili";"BESNIER";"Jean-Marc";"M";1957-11-23;"Neuilly-Sur-Seine";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
3;"Amérique latine et Caraïbes";306;"Chili";"BLANCHE";"Catherine";"F";1981-12-04;"PARIS 18E ARRONDISSEMENT";35;"Profession de l'information, des arts et des spectacles";2021-05-31;;
3;"Amérique latine et Caraïbes";306;"Chili";"COLAS";"Daniel";"M";1953-10-20;"Pantin";75;"Ancienne profession intermédiaire";2021-05-31;;
3;"Amérique latine et Caraïbes";306;"Chili";"HARITÇALDE";"Marie Christine";"F";1948-10-13;"CHILI";31;"Profession libérale";2021-05-31;"Président du conseil consulaire";2021-06-16
3;"Amérique latine et Caraïbes";307;"Colombie";"GAVIGNET";"Colin";"M";1974-07-18;"Suresnes";34;"Professeur, profession scientifique";2021-05-31;;
3;"Amérique latine et Caraïbes";307;"Colombie";"LAVERGNE";"Cécile";"F";1984-08-20;"Toulouse";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;"Président du conseil consulaire";2021-06-29
3;"Amérique latine et Caraïbes";307;"Colombie";"MARTIQUET";"Cyril";"M";1971-10-06;"Bayonne";31;"Profession libérale";2021-05-31;;
3;"Amérique latine et Caraïbes";308;"Costa Rica, Honduras, Nicaragua";"GLOCK";"Denis";"M";1964-03-27;"Saint-Avold";42;"Professeur des écoles, instituteur et assimilé";2021-05-31;"Président du conseil consulaire";2021-06-15
3;"Amérique latine et Caraïbes";308;"Costa Rica, Honduras, Nicaragua";"RABIA";"Malika";"F";1956-09-22;"Nanterre";31;"Profession libérale";2021-05-31;;
3;"Amérique latine et Caraïbes";308;"Costa Rica, Honduras, Nicaragua";"STERNER";"Fanny";"F";1964-01-18;"Nîmes";72;"Ancien artisan, commerçant, chef d'entreprise";2021-05-31;;
3;"Amérique latine et Caraïbes";309;"Equateur";"ANDRES";"François";"M";1949-11-17;"ESPAGNE";31;"Profession libérale";2021-05-31;;
